                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.095,                0.66751,                 1.1063,                0.89983,                0.49372,                0.55174,                0.32507,                  1.527,                0.91849,                 1.3774,             0.00036307,             0.00036307,             0.00036307
                     36,                 1.0704,                0.64603,                 1.0999,                0.89787,                 0.5049,                0.59262,                0.34118,                 1.4712,                0.87579,                 1.3715,             0.00034108,             0.00034108,             0.00034108
                     37,                 1.0747,                0.64655,                 1.0987,                0.85418,                0.55573,                0.61713,                0.35652,                 1.5057,                0.88454,                 1.3902,             0.00031908,             0.00031908,             0.00031908
                     38,                 1.0485,                0.62879,                 1.0838,                0.85611,                0.54894,                0.60567,                0.35605,                 1.4974,                0.89687,                 1.3777,             0.00029708,             0.00029708,             0.00029708
                     39,                 1.0476,                0.62943,                 1.0875,                0.83644,                0.57395,                0.61543,                0.34433,                 1.5051,                0.91339,                 1.3857,             0.00027508,             0.00027508,             0.00027508
                     40,                 1.0407,                0.62176,                 1.0842,                0.87252,                0.48142,                0.62233,                 0.3705,                 1.4585,                0.87953,                 1.3621,             0.00025309,             0.00025309,             0.00025309
                     41,                 1.0027,                0.55642,                 1.0548,                0.88696,                0.55025,                0.61638,                0.38483,                 1.4517,                0.83874,                 1.3602,             0.00023109,             0.00023109,             0.00023109
                     42,                0.96145,                0.52901,                 1.0375,                0.84922,                0.59927,                0.63599,                 0.3821,                 1.4768,                0.83963,                 1.3859,             0.00020909,             0.00020909,             0.00020909
                     43,                0.95666,                  0.514,                 1.0323,                0.87851,                0.56464,                0.64406,                0.38004,                 1.4602,                0.81741,                  1.373,             0.00018709,             0.00018709,             0.00018709
                     44,                0.93014,                0.50622,                 1.0276,                0.87557,                0.54871,                0.59429,                  0.375,                 1.4791,                 0.8594,                 1.3914,             0.00016509,             0.00016509,             0.00016509
                     45,                0.93024,                0.50629,                 1.0204,                 0.8991,                0.54471,                0.59893,                0.35863,                 1.4782,                0.86069,                 1.3855,              0.0001431,              0.0001431,              0.0001431
                     46,                 0.9073,                0.49619,                 1.0098,                 0.8668,                0.55931,                0.61349,                0.36951,                 1.5018,                0.85905,                 1.4099,              0.0001211,              0.0001211,              0.0001211
                     47,                0.89488,                0.49105,                 1.0037,                0.84572,                0.55652,                 0.5956,                 0.3512,                 1.4883,                0.85214,                 1.3992,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     48,                0.88388,                  0.489,                 1.0087,                0.87521,                0.55069,                 0.5984,                0.34718,                 1.4849,                0.85719,                  1.403,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     49,                0.85656,                0.47734,                0.99152,                0.85009,                0.55691,                0.60274,                0.35903,                 1.4633,                0.85238,                 1.3942,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     50,                 0.8612,                0.47111,                0.98709,                 0.8517,                0.54732,                0.59554,                0.35806,                 1.4754,                0.84219,                 1.4009,             3.3108e-05,             3.3108e-05,             3.3108e-05
