                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1702,                0.81443,                 1.1812,                0.78886,                0.65026,                0.69546,                0.43421,                 1.5729,                 1.2899,                 1.4834,             0.00049529,             0.00049529,             0.00049529
                     35,                 1.1499,                0.79917,                 1.1842,                0.76115,                0.66604,                0.70285,                0.42379,                 1.6073,                 1.2935,                 1.4988,               0.000467,               0.000467,               0.000467
                     36,                 1.1053,                0.75046,                  1.144,                0.82998,                0.63635,                 0.7306,                0.46683,                 1.5429,                 1.1636,                 1.4693,              0.0004387,              0.0004387,              0.0004387
                     37,                 1.1358,                0.75386,                 1.1629,                  0.768,                0.66912,                0.74485,                  0.433,                 1.5728,                 1.1575,                 1.4784,             0.00041041,             0.00041041,             0.00041041
                     38,                 1.0821,                0.71659,                 1.1436,                0.82432,                0.67015,                0.71612,                0.46527,                 1.5393,                 1.1513,                 1.4406,             0.00038211,             0.00038211,             0.00038211
                     39,                  1.084,                0.75924,                 1.1538,                0.84699,                0.65769,                0.73771,                0.45878,                 1.5779,                 1.1545,                 1.5006,             0.00035382,             0.00035382,             0.00035382
                     40,                 1.0617,                0.70356,                 1.1328,                0.85704,                0.66032,                0.71695,                0.43618,                 1.5478,                 1.1734,                 1.4646,             0.00032553,             0.00032553,             0.00032553
                     41,                 1.0319,                0.65106,                 1.1203,                0.81436,                0.65688,                0.72222,                0.42687,                 1.6353,                 1.1933,                 1.5414,             0.00029723,             0.00029723,             0.00029723
                     42,                 1.0131,                 0.6301,                 1.1121,                0.84811,                0.65233,                0.73099,                0.44054,                 1.5735,                 1.1602,                 1.4988,             0.00026894,             0.00026894,             0.00026894
                     43,                0.99698,                0.59852,                 1.0982,                0.83175,                0.65989,                 0.7375,                 0.4321,                 1.5694,                 1.1583,                 1.4869,             0.00024064,             0.00024064,             0.00024064
                     44,                0.99608,                0.59985,                 1.0942,                0.78161,                0.69293,                0.73484,                0.45003,                 1.5609,                  1.182,                  1.472,             0.00021235,             0.00021235,             0.00021235
                     45,                0.96171,                0.58638,                 1.0851,                0.86794,                0.65134,                 0.7352,                0.45683,                 1.5944,                 1.1833,                 1.4973,             0.00018406,             0.00018406,             0.00018406
                     46,                0.92696,                0.55217,                 1.0703,                0.85488,                0.67667,                0.73923,                0.44387,                 1.5694,                 1.1863,                  1.486,             0.00015576,             0.00015576,             0.00015576
                     47,                0.92912,                0.57844,                 1.0701,                0.81808,                0.70206,                0.74128,                0.46604,                 1.5762,                  1.175,                 1.4938,             0.00012747,             0.00012747,             0.00012747
                     48,                0.90635,                0.53997,                 1.0484,                 0.8013,                0.68691,                0.74362,                0.46019,                 1.5495,                 1.1544,                 1.4781,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.90835,                0.54744,                 1.0537,                0.84058,                0.66736,                0.74292,                 0.4632,                 1.5547,                 1.1619,                 1.4907,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.88911,                0.53238,                 1.0454,                0.85607,                0.66981,                0.73737,                0.45639,                 1.5472,                 1.1528,                 1.4837,             4.2584e-05,             4.2584e-05,             4.2584e-05
